dc_title,dcterms_alternative,dc_creator,dc_subject,dc_description,dc_publisher,dc_contributor,dc:type,dc:format,dc:identifier,dc:source,dc:language,dcterms:isPartOf,dcterms:spatial,dcterms:temporal,dc:rights,SLQ Digitool viewer,1000_pixel_jpg and 150_pixel_jpg images,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burnett waltz [music cover],,"Rowland, Leila Ruth,1879-1958.","Bridges -- Queensland -- Burnett River Kennedy Bridge (Bundaberg, Qld.)","Features a photograph of the Kennedy Bridge, in Bourbong St, Bundaberg which spans the Burnett River. The cover includes the caption - 'Dedicated to Lady Macgregor'.",State Library of Queensland,,image,Digital format: image/jpeg Original format: 1 score (5) p. ; 37 cm.,,"Copied and digitised from Burnett waltz composed by Leila Ruth Rowland. Brisbane, Qld. : W.H.Paling & Co., [19--?] Item is held by State Library of Queensland.",,Accession number: Bib 757137 Is part of: Music Queensland Is part of: View score online: http://hdl.handle.net/10462/comp/1193 ,"Bundaberg, Queensland; -24.86619,152.34938",19--?,Copyright expired. For further information http://www.slq.qld.gov.au/home/copyright,http://hdl.handle.net/10462/comp/1193,Burnett waltz - Cover 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402066&custom_att_3=NLA,Burnett waltz - Page 2 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402070&custom_att_3=NLA,Burnett waltz - Page 3 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402074&custom_att_3=NLA,Burnett waltz - Page 4 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402078&custom_att_3=NLA,Burnett waltz - Page 5 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402082&custom_att_3=NLA,Burnett waltz - Page 6 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402086&custom_att_3=NLA,Burnett waltz thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402067,101965-s002 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402071,101965-s003 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402075,101965-s004 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402079,101965-s005 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402083,101965-s007 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402087,,,,,,,,,,,,,,,,,,,,,,
The fisher boy,,"Caflisch, W. A.",Songs (Medium voice) with piano Fishers--Queensland,'Compass A to D'-- cover.,State Library of Queensland,Cristabel.,image,Digital format: image/jpeg Original format: 1 score (7) p. ; 37 cm.,,"Copied and digitised from The fisher boy words by Cristabel ; music by W. A. Calflisch. Brisbane, Qld. : H.J. Pollard & Co., [19--?] Item is held by State Library of Queensland.",,Accession number: Bib 757138 Is part of: Music Queensland Is part of: View score online: http://hdl.handle.net/10462/comp/1196 ,,19--?,Copyright expired. For further information http://www.slq.qld.gov.au/home/copyright,http://hdl.handle.net/10462/comp/1196,The fisher boy - Page 5 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402108&custom_att_3=NLA,The fisher boy - Page 6 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402112&custom_att_3=NLA,The fisher boy - Page 7 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402116&custom_att_3=NLA,The fisher boy - Page 8 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402120&custom_att_3=NLA,The fisher boy - Page 4 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402104&custom_att_3=NLA,The fisher boy - Cover 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402092&custom_att_3=NLA,The fisher boy - Page 2 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402096&custom_att_3=NLA,The fisher boy - Page 3 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402100&custom_att_3=NLA,101966-s005 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402109,101966-s006 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402113,101966-s007 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402117,101966-s008 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402121,101966-s003 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402101,101966-s004 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402105,The fisher boy thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402093,101966-s002 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402097,,,,,,,,,,,,,,,,,,
The waters of the Brisbane waltz : a musical dream,,"Anderson, Wallace.",Brisbane River (Qld.)--Songs and music Piano music Waltzes,"Features a photograph of a section of the Brisbane River, possibly looking from Kangaroo Point prior to the Story Bridge. The cover also includes an autograph dedication by the composer: 'To Professor Cumbrae Stewart with the compliments of the composer, Wallace Anderson'.",State Library of Queensland,,image,Digital format: image/jpeg Original format: 1 score (4) p. ; 36 cm.,,"Copied and digitised from The waters of the Brisbane waltz : a musical dream / by Wallace Anderson. [S.l. : s.n., 19--?] Item is held by State Library of Queensland.",,Accession number: Bib 757139 Is part of: Music Queensland Is part of: View score online: http://hdl.handle.net/10462/comp/1184 Is part of: Picture Queensland ~ State Library of Queensland : digital image collection ~ Sheet music covers ,"Brisbane River (Qld.) ; Lat/long: -27.47801,153.035706",19--?,Copyright expired. For further information http://www.slq.qld.gov.au/home/copyright,http://hdl.handle.net/10462/comp/1184,The waters of the Brisbane waltz : a musical dream - Cover 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402126&custom_att_3=NLA,The waters of the Brisbane waltz : a musical dream - Page 2 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402130&custom_att_3=NLA,The waters of the Brisbane waltz : a musical dream - Page 3 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402134&custom_att_3=NLA,The waters of the Brisbane waltz : a musical dream - Page 4 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402138&custom_att_3=NLA,The waters of the Brisbane waltz : a musical dream - Page 5 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402142&custom_att_3=NLA,The waters of the Brisbane waltz : a musical dream thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402127,101968-s002 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402131,101968-s003 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402135,101968-s004 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402139,101968-s005 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402143,,,,,,,,,,,,,,,,,,,,,,,,
When the Jacaranda blooms,,"Turbayne, F.",Songs (Medium voice) with piano Trees--Queensland--Brisbane,'Song When the Jacaranda blooms'--cover.,State Library of Queensland,,image,Digital format: image/jpeg Original format: 1 score (3) p. ; 33 cm.,,Copied and digitised from When the Jacaranda blooms words and music by F. Turbayne. [S.l. : s.n. 19--?] Item is held by State Library of Queensland.,,Accession number: Bib 757145 Is part of: Music Queensland Is part of: View score online: http://hdl.handle.net/10462/comp/1185 ,,19--?,Copyright expired. For further information http://www.slq.qld.gov.au/home/copyright,http://hdl.handle.net/10462/comp/1185,When the Jacaranda blooms - Cover 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402148&custom_att_3=NLA,When the Jacaranda blooms - Page 2 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402152&custom_att_3=NLA,When the Jacaranda blooms - Page 3 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402156&custom_att_3=NLA,When the Jacaranda blooms - Page 4 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402160&custom_att_3=NLA,When the Jacaranda blooms thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402149,101974-s002 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402153,101974-s003 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402157,101974-s004 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402161,,,,,,,,,,,,,,,,,,,,,,,,,,
Down on the sands at Emu Park,,"Wood, Stan",Emu Park (Qld.),"Features a photo of Men's beach, Emu Park.",State Library of Queensland,"Shorley, E. T.(Ezra Thomas),1868-1946.",image,Digital format: image/jpeg Original format: 1 score (4) p. : ill. ; 33 cm.,,"Copied and digitised from Down on the sands at Emu Park words by E. T. Shorley ; music by Stan Wood. Rockhampton, Qld. : Printed by Record Printing Company, [19--?] Item is held by State Library of Queensland.",,Accession number: Bib 757148 Is part of: Music Queensland Is part of: View score online: http://hdl.handle.net/10462/comp/1186 ,"Emu Park, Queensland; -29, 151.38333",19--?,Copyright expired. For further information http://www.slq.qld.gov.au/home/copyright,http://hdl.handle.net/10462/comp/1186,Down on the sands at Emu Park - Page 4 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402178&custom_att_3=NLA,Down on the sands at Emu Park - Page 5 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402182&custom_att_3=NLA,Down on the sands at Emu Park - Cover 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402166&custom_att_3=NLA,Down on the sands at Emu Park - Page 2 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402170&custom_att_3=NLA,Down on the sands at Emu Park - Page 3 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402174&custom_att_3=NLA,Down on the sands at Emu Park - Page 6 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402186&custom_att_3=NLA,Down on the sands at Emu Park - Page 7 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402190&custom_att_3=NLA,101977-s004 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402179,101977-s005 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402183,Down on the sands at Emu Park thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402167,101977-s002 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402171,101977-s003 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402175,101977-s006 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402187,101977-s007 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402191,,,,,,,,,,,,,,,,,,,,
Redcliffe,,"Wood, Stan.",Redcliffe (Qld.)--Songs and music Songs (Medium voice) with piano,Features a photograph of people swimming at Redcliffe beach.,State Library of Queensland,"Shorley, E. T.(Ezra Thomas),1868-1946.",image,Digital format: image/jpeg Original format: 1 score [3] p. ; 33 cm.,,"Copied and digitised from Redcliffe words by Tom Shorley and Leo Martin ; music by Stan Wood. Rockhampton, Qld. : Printed by Record printing Company, [19--?] Item is held by State Library of Queensland.",,Accession number: Bib 757150 Is part of: Music Queensland Is part of: View score online: http://hdl.handle.net/10462/comp/1175 ,"Redcliffe, Queensland; -27.234007,153.116283",19--?,Copyright expired. For further information http://www.slq.qld.gov.au/home/copyright,http://hdl.handle.net/10462/comp/1175,Redcliffe - Cover 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402196&custom_att_3=NLA,Redcliffe - Page 2 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402200&custom_att_3=NLA,Redcliffe - Page 3 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402204&custom_att_3=NLA,Redcliffe - Page 4 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402208&custom_att_3=NLA,101979-s005 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402209,Redcliffe thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402197,101979-s002 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402201,101979-s004 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402205,,,,,,,,,,,,,,,,,,,,,,,,,,
Sandgate charming waltz song,,"Wood, Stan",Sandgate (Qld.)--Songs and music Songs (Medium voice) with piano,Features a photograph of Sandgate beach with people sitting about the shore.,State Library of Queensland,"Shorley, E. T.(Ezra Thomas),1868-1946.",image,Digital format: image/jpeg Original format: 1 score (3) p. ; 33 cm.,,"Copied and digitised from Sandgate charming waltz song. / words by Tom Shorley ; music by Stan Wood. Rockhampton, Qld. : Printed by Record Printing Company [19--?] Item is held by State Library of Queensland.",,Accession number: Bib 757151 Is part of: Music Queensland Is part of: View score online: http://hdl.handle.net/10462/comp/1176 ,Sandgate (Qld.),19--?,Copyright expired. For further information http://www.slq.qld.gov.au/home/copyright,http://hdl.handle.net/10462/comp/1176,Sandgate charming waltz song. - Page 4 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402226&custom_att_3=NLA,Sandgate charming waltz song. - Page 5 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402230&custom_att_3=NLA,Sandgate charming waltz song. - Page 6 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402234&custom_att_3=NLA,Sandgate charming waltz song. - Cover 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402214&custom_att_3=NLA,Sandgate charming waltz song. - Page 2 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402218&custom_att_3=NLA,Sandgate charming waltz song. - Page 3 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402222&custom_att_3=NLA,101980-s004 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402227,101980-s005 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402231,101980-s006 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402235,Sandgate charming waltz song. thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402215,101980-s002 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402219,101980-s003 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402223,,,,,,,,,,,,,,,,,,,,,,
Cricket is the game,,"Lea, May.",Cricket--Songs and music Songs (Medium voice) with piano,'Front cover features image of man bowling a cricket ball'. 'Autograph on front cover: E. T. Shorley'.,State Library of Queensland,"Lynns, Col.",image,Digital format: image/jpeg Original format: 1 score [3] p. ; 31 cm.,,"Copied and digitised from Cricket is the game words by Col. Lynns ; music by May Lea. Rockhampton, Qld. : Printed by Record Printing Company, [19--?] Item is held by State Library of Queensland.",,Accession number: Bib 757152 Is part of: Music Queensland Is part of: View score online: http://hdl.handle.net/10462/comp/1200 ,,19--?,Copyright expired. For further information http://www.slq.qld.gov.au/home/copyright,http://hdl.handle.net/10462/comp/1200,Cricket is the game - Page 2 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402244&custom_att_3=NLA,Cricket is the game - Page 3 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402248&custom_att_3=NLA,Cricket is the game - Page 4 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402252&custom_att_3=NLA,Cricket is the game - Cover 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402240&custom_att_3=NLA,101981-s002 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402245,101981-s003 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402249,101981-s004 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402253,Cricket is the game thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402241,,,,,,,,,,,,,,,,,,,,,,,,,,
Boys will be boys,,"Smith, Fred T.",Songs with piano. Songs (High voice) with piano.,"The main photo is titled: 'Successful Treasure Escort in Recent Scouting Scheme' and shows L. Michelli (Driver) , Scoutmaster R. Pickering, Corporal J. Kenyon, Corporal J. Gibbon and Patrol-Leader H. Hamilton. The cover includes a photo of Gilbert Learmonth and the note - 'Sung by Gilbert Learmonth, Gilbert Ferguson, Titus George and many others, with great successs'.'A stirring march song' --cover.",State Library of Queensland,,image,Digital format: image/jpeg Original format: 1 score (4) p. : 36 cm.,,"Copied and digitised from Boys will be boys words and music by Fred T. Smith. South Melbourne, Vic. : Star Music Co., [19--?]. Item is held by State Library of Queensland.",,Accession number: Bib 759614 Is part of: Music Queensland Is part of: View score online: http://hdl.handle.net/10462/comp/1171 ,,19--?,Copyright expired. For further information http://www.slq.qld.gov.au/home/copyright,http://hdl.handle.net/10462/comp/1171,Boys will be boys - Cover 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402258&custom_att_3=NLA,Boys will be boys - Page 2 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402262&custom_att_3=NLA,Boys will be boys - Page 3 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402266&custom_att_3=NLA,Boys will be boys - Page 4 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402270&custom_att_3=NLA,Boys will be boys - Page 5 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402274&custom_att_3=NLA,Boys will be boys thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402259,106358-s002 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402263,106358-s003 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402267,106358-s004 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402271,106358-s005 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402275,,,,,,,,,,,,,,,,,,,,,,,,
Serenade part-song for S.A.T.B.,,"Benson, S. G.","Part-songs Choruses, Secular (Mixed voices, 4 parts), Unaccompanied",,State Library of Queensland,"Browne, Spencer,1856-1943.",image,Digital format: image/jpeg Original format: 1 score (4 p.) ; 28 cm.,,"Copied and digitised from Serenade part-song for S.A.T.B. / words by Captian Spencer Browne ; music by S. G. Benson. Brisbane, Qld. : W. H. Paling, [19--?] Item is held by State Library of Queensland.",,Accession number: Bib 759618 Is part of: Music Queensland Is part of: View score online: http://hdl.handle.net/10462/comp/1189 ,,19--?,Copyright expired. For further information http://www.slq.qld.gov.au/home/copyright,http://hdl.handle.net/10462/comp/1189,Serenade part-song for S.A.T.B. - Cover 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402280&custom_att_3=NLA,Serenade part-song for S.A.T.B. - Page 2 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402284&custom_att_3=NLA,Serenade part-song for S.A.T.B. - Page 3 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402288&custom_att_3=NLA,Serenade part-song for S.A.T.B. - Page 4 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402292&custom_att_3=NLA,Serenade part-song for S.A.T.B. thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402281,106372-s002 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402285,106372-s003 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402289,106372-s004 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402293,,,,,,,,,,,,,,,,,,,,,,,,,,
Beautiful sunshine,,"Wood, Stan",Songs with piano,Text of song printed on preface page.'Featured by Harry Little'.--cover.,State Library of Queensland,"Shorley, E. T.(Ezra Thomas),1868-1946.",image,Digital format: image/jpeg Original format: 1 score (3 p.) ; 36 cm.,,"Copied and digitised from Beautiful sunshine words by E.T.Shorley ; music by Stan Wood. Rockhampton, Qld. : Printed at Record Printing Company, [19--?] Item is held by State Library of Queensland.",,Accession number: Bib 759620 Is part of: Music Queensland Is part of: View score online: http://hdl.handle.net/10462/comp/1192 ,,19--?,Copyright expired. For further information http://www.slq.qld.gov.au/home/copyright,http://hdl.handle.net/10462/comp/1192,Beautiful sunshine - Cover 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402298&custom_att_3=NLA,Beautiful sunshine - Page 2 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402302&custom_att_3=NLA,Beautiful sunshine - Page 3 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402306&custom_att_3=NLA,Beautiful sunshine - Page 4 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402310&custom_att_3=NLA,Beautiful sunshine - Page 5 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402314&custom_att_3=NLA,Beautiful sunshine - Page 6 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402318&custom_att_3=NLA,Beautiful sunshine thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402299,106376-s002 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402303,106376-s003 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402307,106376-s004 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402311,106376-s005 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402315,106376-s006 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402319,,,,,,,,,,,,,,,,,,,,,,
